7、电视剧《武林外传》中“李大嘴”使从事什么职业的角色？   厨师
38、在希腊神话中，因冒犯雅典娜，头发变成毒蛇的女妖是谁？   美杜莎
39、代表作有《边城》，出生于湖南凤凰县的著名作家是谁？   沈从文
40、“方鸿渐”、“苏文纨”是钱钟书哪部小说中的人物？   《围城》
41、歌曲《浮夸》《圣诞结》是哪位香港男歌手的代表作？   陈奕迅
42、歌词“也许放弃才能靠近你”是出自于香港歌手莫文蔚的哪首成名歌曲？   《盛夏的果实》
43、哪位德国著名作家的遗愿是死后与著名诗人席勒（Schiller）葬在一起？   歌德
44、形容夫妻吵架没有隔夜仇，常会说“床头打架”，下一句是什么？   床尾和
45、歇后语：“兔子的尾巴”，下一句是什么？   长不了
46、“排长、工兵、地雷”都是我国哪种棋类游戏中的棋子？   军旗
47、“五筒、两条、三万”都是我国哪个传统游戏中的花色？   麻将
48、相传洛神是我国哪位中华民族的人文始祖的女儿？   伏羲
49、相传战国时齐国丑女，四十岁不得出嫁，后被齐宣王立为王后的是谁？   钟无艳
50、以描述汉武市井生活为特色，代表作有《生活秀》和《来来往往》的女作家是哪一位？   池莉
51、《告别薇安》《彼岸花》是国内哪位著名作家的代表作？   安妮宝贝
52、向全国的青少年发出了“好好学习，天天向上”号召的是我国哪位伟大领袖？   毛泽东
53、1952年在朝鲜上甘岭地区战斗时用胸口堵住敌人枪口而阵亡的革命烈士叫什么名字？   黄继光
54、“明月几时有，把酒问青天”这首词指的是哪个传统节日？   中秋节
55、我国在过中秋佳节时，会吃到什么点心以示“团圆”？   月饼
56、人们常用神话中的哪两种动物的器官来比喻珍贵、稀少的人或事物？   凤毛麟角
57、人们常用哪两种动物的内脏器官，来形容凶恶狠毒和忘恩负义之人？   狼心狗肺
58、宝鸡市、咸阳市是属于我国哪个省的城市？   陕西
59、“九江市，上饶市”是位于我国哪个省的城市？   江西
60、歌词“我们唱着东方红，当家做主站起来，我们讲着春天的故事，改革开放富起来”来自哪首歌？   《走进新时代》
61、“我是在等待一个女孩，还是在等待沉沦苦海”是出自刘德华哪首歌的歌词？   《冰雨》
62、京剧剧目《让徐州》，取材于古典四大名著中的哪一部？   《三国演义》
63、《三国演义》中，东吴五都督中，“白衣渡江”指的是由谁策划的偷袭战？   吕蒙
64、现在河南的开封市，在北宋作为国都时叫做什么？   汴梁
65、历史上著名的长平之战赵国大败，赵国的将领是赵括，秦国的将领是谁？   白起
66、近期上映的喜剧电影《人再囧途之泰囧》中，饰演“徐朗”的是内地哪位实力男星？   徐峥
67、陆川的电影《王的盛宴》中，台湾男星张震饰演的是哪位历史人物？   韩信
68、齐齐哈尔市、佳木斯市是属于我国哪个省的城市？   黑龙江
101、公司企业愿景是什么？        成为员工幸福、行业领先、基业长青、世人尊敬的美好企业。
102、利己则生的下一句是什么？   利他则久
103、经营哲学中大爱似无情的前一句是什么？     “小善”乃大恶
104、经营哲学中率先垂范的前一句是什么？     以身作则
105、经营哲学中遵循原则的前一句是什么？    依照原理
106、经营哲学中勇于挑战的下一句是什么？   垂直攀登
107、经营哲学中今天要比昨天好的下一句是什么？  明天要比今天好
108、经营哲学中要我们怎样的投入工作？  认真、拼命
69、枣庄市、烟台市是属于我国哪个省的城市？   山东
70、“白衣送酒”的典故与哪一位田园诗人有关？   陶渊明
71、柳永、李清照都是宋词中哪个流派的词人？   婉约派
72、姚晨近日和曹郁在哪个国家大婚？   新西兰
73、名著《水浒传》中，八十万禁军教头林冲蒙冤发配到了现在河北省的哪个市？   沧州
74、名著《红楼梦》里葫芦僧判断葫芦案一段中被拐走的甄士隐的女儿叫什么？   甄英莲
75、在CBA联赛中，以东北虎命名的是我国哪个城市的篮球俱乐部？   吉林
76、游泳健将孙杨、叶诗文的家乡都在哪个省？   浙江
77、在抗美援朝战争中，时任朝鲜的领导人是谁？   金日成
78、清朝慈禧时期，原名李金喜被称作“小李子”的总管太监的是哪一位？   李莲英
79、新疆地区有“三山夹两盆”，其中的三山指的是阿尔泰山、昆仑山和什么山？   天山
80、北岳恒山在哪个省？   山西
80、江苏卫视一站到底复仇者联盟什么时候开始的？  20130125期
81、人称“花中的隐士”指的是什么花？   菊花
82、人称“花中富贵者”指的是什么花？   牡丹
83、著名旅游地“西双版纳”的名称源于我国哪一个少数民族的语言？   傣族
84、我国大文豪老舍是哪个民族的人？   满族
85、世界知名甜品“黑森林蛋糕”中的“黑森林”的名字源于哪个国家？   德国
86、比利牛斯山是西班牙和哪个欧洲国家的天然分界线？   法国
87、名著《水浒传》中，梁山上竖立着一面杏黄大旗，上面写有哪四个大字？   替天行道
88、名著《西游记》中，抢来宝象国公主百花羞的妖精叫什么怪？   黄袍怪
89、著名京剧《千里送京娘》的男主角是哪位宋朝皇帝？   赵匡胤
90、常香玉是我国哪个剧种的表演艺术家？   豫剧
91、位于朝鲜语韩国交界的著名景点，是哪座山？   金刚山
92、北半球一年中白天最短、夜晚最长的一天，是24节气中的哪个节气？   冬至
93、在西方大部分国家，圣诞节指的是每年12月的哪一天？   25号
94、有“东南第一山”称号的雁荡山位于我国的哪个省？   浙江
95、我国面积最大、陆地边境线最长、毗邻国家最多的是哪个省级行政区？   新疆
96、世界名曲《欢乐颂》是贝多芬第几部交响曲中的篇章？   第九
97、贝多芬《欢乐颂》的作词者席勒是哪国人？   德国
98、名著《水浒传》中，绰号“玉麒麟”的人叫什么名字？   卢俊义
99、根据《三国演义》中的记载，刘备所使用的兵器是什么？   雌雄双股剑
100、哪位隋末叛军首领，在禁卫军兵变时弑君隋炀帝？   宇文化及
101、公司企业愿景是什么？        成为员工幸福、行业领先、基业长青、世人尊敬的美好企业。
102、利己则生的下一句是什么？   利他则久
103、经营哲学中大爱似无情的前一句是什么？     “小善”乃大恶
104、经营哲学中率先垂范的前一句是什么？     以身作则
105、经营哲学中遵循原则的前一句是什么？    依照原理
106、经营哲学中勇于挑战的下一句是什么？   垂直攀登
107、经营哲学中今天要比昨天好的下一句是什么？  明天要比今天好
108、经营哲学中要我们怎样的投入工作？  认真、拼命
1.“铁观音”茶的原产发源地在中国的哪个省份？福建 
2.奢侈品牌 LV 路易威登是哪个国家的品牌？法国 
3 欧洲的哪个城市被世界公认为“雾都”.？伦敦 
4.西藏布达拉宫最初是松赞干布为了迎接谁而兴建的？文成公主 
4. 电影《碟中谍 4》中汤姆布鲁斯挑战的世界第一高的摩天大楼位于哪个城市？迪拜 
5.电影《变形金刚》中，与擎天柱作对的反派首领叫什么？威震天 
6.金庸小说《射雕英雄传》中第一次华山论剑的胜利者是哪一位？王重阳 
7.美国阿姆斯特朗登上月球后，说了“个人的一小步” ，后一句是什么？人类的一大步 
8.法国巴黎有名的凯旋门是为了纪念哪位名人建造的？拿破仑 
9.世界上出现麦田怪圈最多的国家是？英国 
10.意大利有一座被活火山活埋的城市，叫什么？庞贝 
11.电影《泰坦尼克号》中，年老的 Rose 扔进海里的蓝色钻石叫什么名字？海洋之心 
12.美国奥斯卡奖历史上只有一人连续两届获得最佳男演员奖，这个人是谁？汤姆汉克斯 
13.世界上公认的第一架实用飞机的发明者是美国的什么人？莱特兄弟 
14.二战过后，审判法西斯的德国法庭在哪一个城市？纽伦堡
1.江苏卫视孟非主持的哪一档知名节目与冯小刚导演的电影同名？非诚勿扰 
2.武术冠军出身，以出演黄飞鸿、方世玉等角色为国人所熟知的武打明星是谁？李连杰 
3.与刘德华，张学友，郭富城合称为香港“四大天王”的人是谁？黎明 
4.歌词“东方之珠，我的爱人”中，东方之珠指的是哪座城市？香港 
5.一站到底的题库网站是多少？ www.yizhandd.com
5.于 2012 年提出破产保护的原世界最大的照相机，胶卷生产供应商是哪家？柯达 
6.我国的吉利汽车公司成功收购了外国哪家汽车公司 100%的股权？沃尔沃 
7.在“小虎队”成员中，吴奇隆被称为什么虎？霹雳虎 
8.在《三国演义》中， “一个愿打一个愿挨”形容的是周瑜与哪位将领的故事？黄盖 
9.小说《封神演义》中，哪位著名的的人物用直的鱼钩钓鱼？姜太公 
10 在我国可兑换的国际通用外币中，最值钱的是哪个币种？英镑 
11.我国明代“七下西洋”的航海家是谁？郑和 
12.解放战争时期著名的“三大战役”中第一个打响的是哪个战役？辽沈战役 
13.股票交易中经常提到的术语“一手” ，请问“一手”是指多少股？100 股
14.国际上用“K”表示含金量，18k 金表示含金量百分比为百分之多少？75% 
15.2008 年的北京奥运会，中国代表队一共夺得了多少枚金牌？51 枚 
1.香港特别行政区的区花是什么？紫荆花 
2.我们通常吃的葵瓜子是什么植物的果实？向日葵 
3.国产动画片《喜羊羊与灰太狼》中，灰太狼的老婆叫什么名字？红太狼 
1. 28 年作为央视春节联欢晚会结尾曲的歌曲叫什么名字？难忘今宵 
2. “当初是你要分开，分开就分开”这是哪首流行歌曲的歌词？爱情买卖 
3. 导演张艺谋最新上映的电影是哪一部？金陵十三衩 
4. 演员房祖名的爸爸是哪位著名功夫巨星？成龙 
5. 南非世界杯期间，成功预测战况而出名的章鱼叫什么名字？保罗 
6. 带领中国国家足球队打入 02 年世界杯的外籍主教练是哪一位？米卢 
61. 自称9岁起博览群书，智商前三百年，后三百年无人能及的网络红人俗称什么?凤姐
62. 因一张头发凌乱，表情冷峻的乞丐装照片而大火特火的流浪汉被网友戏称?犀利哥
63. 电影午夜凶铃中从电视剧爬出来的著名恐怖角色叫什么?贞子
64. 007系列电影中，特工男主角的名字叫什么?邦德
65. 我国古代时传统婚礼的拜天地有三拜，一拜天地，二拜?高堂
66. 作为我国婚礼程序中，夫妻各执一杯酒，双手相交喝完表示相爱的喝酒形式叫什么?交杯酒
67. 中国和朝鲜两国的界河叫做什么江?鸭绿江
68. 被誉为绿色林海的大兴安岭位于我国哪个省份?黑龙江
69. 2008年奥运会的口号同一个世界，下一句是什么?同一个梦想
70. 羽毛球界被称为超级丹的运动员是谁?林丹
71. 明月几时有，把酒问青天出自宋朝哪位词人之手?苏轼
72. 三国演义中蜀国的五虎大将里被称为常胜将军的是谁?赵子龙
73. 目前我国内地的小型民用汽车牌照的底色是什么颜色?蓝色
74. 一些轿车车身后面有1.6 1.8 2.9等阿拉伯数字这是指发动机的什么?排量
75. 中华人民共和国国歌原名是什么?义勇军进行曲
76. 中国少年先锋队队歌第一句是什么？我们是共产主义接班人
1. 传说每年平安夜晚圣诞老天让你送礼物时候乘坐的雪橇是什么动物拉的？驯鹿
2. 朋友间会以恶作剧的方式来互开玩笑的愚人节在每年的几月几号？4月1号
3. 2000年夏季奥运会是在哪个城市举办的？悉尼
4. 世界杯足球比赛几年一次？4年
5. 头戴礼帽，足登大皮靴，走路像鸭子的著名应该喜剧演员是谁？卓别林
6. 目前已经上映哈利波特系列电影已经到了第几部？第七部
7. 经常用来庆祝胜利的香槟酒起源于哪个国家？法国
8. 我国国酒茅台酒出于哪个省份？贵州
9. 卡拉OK是哪国人发明的？日本人
10. 空调的发明者是哪国人？美国
11. 一张20元人民币破损了2分之1，到银行可以兑换到多少钱？10元
12. 第五套人民币中紫色人像的面值是多少？5元
13. 我们现在实行的八小时工作制度最早在哪个国家出现？英国
14. 肯德基的创始人是什么军衔？上校
15. 美国第一所军事学校是什么学校？西点学校
16. 表示国内生产总值的英文简称是？GDP
17. 以帆为造型的悉尼标志性建筑物是什么？悉尼歌剧院
18. 首席执行官的职务英文简称？CEO
19. 日常生活中我们把自己动手创作制作称为的英文简称？DIY
20. Siri是美国哪家公司其手机应用的一项语音控制功能？苹果公司
1. “似曾相识燕归来”的上一句是? 无可奈何花落去
5. 黄酒名品“加饭酒”的产地在哪？ 浙江
6. 土豆不宜存放在什么地方？  日光照射处
7. 太阳金字塔坐落在哪里？ 墨西哥
8. “金屋藏娇”的故事与哪一位皇帝有关？ 汉武帝
9. 古书中男子手里常握有“三尺”，请问它指什么？  剑
10. 人体的第一次心跳是什么时候开始的？  胚胎发育到第3星期
11. 成语“三人行，必有我师”、“敏而好学，不耻下问”出自? 论语
12. 太阳系九大行星中位于最外侧的是? 冥王星
13. “问世间，情是何物，直教生死相许”语出? 元好问
14. 下半旗是把旗子下降到? 距离杆顶的1／3处
15. 中国境内的外企与它的员工的劳动关系? 由《劳动法》调整
1、速度快、分辨率高的打印机类型是？激光式
2、世界天气的推动力是？太阳
3、假设你在宇宙飞船上烧一壶水，烧多少时间才会烧开呢？不会烧开
4、葡萄糖是？白色晶体
5、园艺上常根据什么原理进行果树整枝修建？ 顶端优势
6、用来判断马的年龄的牙齿——门齿顶端下的一个深穴是？齿沟
7、人类实现对太阳的逼近观测是？1973年美国发射的大型载人航天站“天空实验室”
8、下列现象与哪种非生物因素有关：沙丁鱼在水温降到8度时，就会向岸边聚集？温度
9、最早发现的类星体是1960年发现的？3C48
10、1光年大约为？94600亿公里
11、有关地球自转，不正确的是：地球自转是指地球围绕地心的运动
12、蛔虫生活在人体内属于什么关系？寄生
13、以下不属于植物人工营养繁殖方发的是：分茎
14、第一架望远镜是由谁发明？伽利略
15、蛇毒作为药用不具有下面哪一种功效？麻醉
16、下面哪一种生态系统的生态平衡最容易维持？热带雨林
81、世界上长颈鹿的脖子最长有？6米左右
82、降雨pH小于5.6，这种雨水？显酸性
83、地球已经有多大年岁了？50~60亿年
84、世界上最大的宫殿是？ 故宫
85、质能方程的提出者是？爱因斯坦
86、猕猴桃属于什么种类水果？浆果类
87、鸡为什么要吃小石子？帮助消化
89、重金属对人体有毒害作用，以下那一种不是？钠(Na)
90、从北半球看，凸出、发光的一面朝左的弯月叫？残月
91、物体通过眼睛在视网膜上成的像是？倒立实象
92、世界上最靠北的首都是： ： 雷克亚未克
93、一氧化碳在空气中中燃烧发出：蓝色火焰
94、非洲国家边界按什么划分的最多？ ： 经线或纬线
95、哪种维生素可促进钙的吸收？维生素D
96、开屏的孔雀是？雄孔雀
97、在空气的什么位置，同样是打炮，人感觉声音最大？地面
98、人体中最大的淋巴器官是？脾
99、已知碳有几种同位素？12种
100、一个苹果最甜的地方是哪个部位？顶部
